line_item_name,line_item_description,canonical_vendor_name,canonical_line_item_name
"Bulk Assorted Fruit Candy - Starburst, Skittles, Swedish Fish, SweeTarts, Nerds, Sour Patch Kids, Haribo Gold-Bears Gummi Bears & Twizzlers (32 Oz Var",,Amazon Business,"Bulk Assorted Fruit Candy - Starburst, Skittles, Swedish Fish, SweeTarts, Nerds, Sour Patch Kids, Haribo Gold-Bears Gummi Bears & Twizzlers (32 Oz Var"
CARTMAN Orange 39-Piece Tool Set,General Household Hand Tool Kit with Plastic Toolbox Storage Case,Amazon Business,CARTMAN Orange 39-Piece Tool Set
"Clasp Envelopes - 9.5x12 Inch Brown Kraft Catalog Envelopes with Clasp Closure & Gummed Seal - 28lb Heavyweight Paper for Home, Office, Business, Lega",,Amazon Business,"Clasp Envelopes - 9.5x12 Inch Brown Kraft Catalog Envelopes with Clasp Closure & Gummed Seal - 28lb Heavyweight Paper for Home, Office, Business, Lega"
"Disposable Gloves - These Disposable Food Prep Gloves Can Also be Used for Kitchen Cleaning, Plastic and Transparent - 100 Piece - One Size Fits Most",,Amazon Business,"Disposable Gloves - These Disposable Food Prep Gloves Can Also be Used for Kitchen Cleaning, Plastic and Transparent - 100 Piece - One Size Fits Most"
"Energizer AA Batteries (48Count), Double A Max Alkaline Battery - Packaging May Vary",,Amazon Business,"Energizer AA Batteries (48Count), Double A Max Alkaline Battery - Packaging May Vary"
"Eutuxia Type-S Black Tempered Glass Monitor Stand, TV, Laptop, Computer, All-in-One Desktop, Printer Riser [21.75 x 8.25 x 3.25 Inches]",,Amazon Business,"Eutuxia Type-S Black Tempered Glass Monitor Stand, TV, Laptop, Computer, All-in-One Desktop, Printer Riser [21.75 x 8.25 x 3.25 Inches]"
"Field Notebook - 3.5""x5.5"" - Black - Dot Graph Memo Book - Pack of 5",,Amazon Business,"Field Notebook - 3.5""x5.5"" - Black - Dot Graph Memo Book - Pack of 5"
"GE Wall Tap, 1, Extra-Wide Adapter Spaced, Easy Access Design, 3 Prong Outlet, Perfect for Travel, UL Listed, White, 58368",,Amazon Business,"GE Wall Tap, 1, Extra-Wide Adapter Spaced, Easy Access Design, 3 Prong Outlet, Perfect for Travel, UL Listed, White, 58368"
"HERSHEY'S Halloween Chocolate Candy Variety Mix (HERSHEY'S, REESE'S, & YORK) Spooky Shapes Assortment, 43.8 oz",,Amazon Business,"HERSHEY'S Halloween Chocolate Candy Variety Mix (HERSHEY'S, REESE'S, & YORK) Spooky Shapes Assortment, 43.8 oz"
"Honeywell CG511A1000 Medium Inner Shelf to Prevent Tampering Thermostat Guard, White",ASIN: B000BPGP6M,Amazon Business,"Honeywell CG511A1000 Medium Inner Shelf to Prevent Tampering Thermostat Guard, White"
"Igloo Insulated Party Bucket, Black/Silver, 20 Quart",,Amazon Business,"Igloo Insulated Party Bucket, Black/Silver, 20 Quart"
"iPhone Charger, [3 Pack] Anker Powerline Lightning Cable (3ft) Apple MFi Certified - Lightning Cables for iPhone 11/11 Pro / 11 Pro Max/XS/XS Max/XR/X","iPhone Charger, [3 Pack] Anker Powerline Lightning Cable (3ft) Apple MFi Certified - Lightning Cables for iPhone 11/11 Pro / 11 Pro Max/XS/XS Max/XR/X",Amazon Business,"iPhone Charger, [3 Pack] Anker Powerline Lightning Cable (3ft) Apple MFi Certified - Lightning Cables for iPhone 11/11 Pro / 11 Pro Max/XS/XS Max/XR/X"
"iXCC Extra Long iPhone Charger Cable, 10 Feet Lightning 8pin to USB Charge and Data Cord for iPhone SE/5/5s/6/6s/6s Plus/7/7 Plus/iPad Mini/Air/Pro [A",,Amazon Business,"iXCC Extra Long iPhone Charger Cable, 10 Feet Lightning 8pin to USB Charge and Data Cord for iPhone SE/5/5s/6/6s/6s Plus/7/7 Plus/iPad Mini/Air/Pro [A"
Klearlook Tablet Stand Holder,"Height Adjustable, 360 Degree Rotating, Aluminum Alloy Cradle Mount Dock for 4.7-12.9 inch iPhone Samsung, iPad, Ninten",Amazon Business,Klearlook Tablet Stand Holder
"Logitech M525 Wireless Mouse - Long 3 Year Battery Life, Ergonomic Shape for Right or Left Hand Use, Micro-Precision Scroll Wheel, and USB Unifying Re",,Amazon Business,"Logitech M525 Wireless Mouse - Long 3 Year Battery Life, Ergonomic Shape for Right or Left Hand Use, Micro-Precision Scroll Wheel, and USB Unifying Re"
Louianna Certified Organic I.G.P. Balsamic Vinegar of Modena250ML-ICEA-BRC AA Grade-IFS Higher Level-Non-GMO- No sulfites added - No caramel added-5,,Amazon Business,Louianna Certified Organic I.G.P. Balsamic Vinegar of Modena250ML-ICEA-BRC AA Grade-IFS Higher Level-Non-GMO- No sulfites added - No caramel added-5
"Method Foaming Hand Soap, Sea Minerals, 10 Fl. Oz (Pack of 6)",,Amazon Business,"Method Foaming Hand Soap, Sea Minerals, 10 Fl. Oz (Pack of 6)"
Mivoylee Black Superhero Mask,Super Hero Cosplay Mask Felt Eye Mask Half Mask Halloween Dress Up Mask with Elastic Rope for Kids Party,Amazon Business,Mivoylee Black Superhero Mask
Mouthwash Refill of 6 Bottles & 720 Cups - Alcohol-Free - Six 1.5 Liter Mouthwash Bottles and a Box of 720 Cups.,,Amazon Business,Mouthwash Refill of 6 Bottles & 720 Cups - Alcohol-Free - Six 1.5 Liter Mouthwash Bottles and a Box of 720 Cups.
"NYHI 200-Pack 4oz White Paper Disposable Cups - Hot/Cold Beverage Drinking Cup for Water, Juice, Coffee or Tea - Ideal for Water Coolers, Party, or Co",,Amazon Business,"NYHI 200-Pack 4oz White Paper Disposable Cups - Hot/Cold Beverage Drinking Cup for Water, Juice, Coffee or Tea - Ideal for Water Coolers, Party, or Co"
"NYHI 50-Pack 6oz White Paper Disposable Cups - Hot/Cold Beverage Drinking Cup for Water, Juice, Coffee or Tea - Ideal for Water Coolers, Party, or Cof",,Amazon Business,"NYHI 50-Pack 6oz White Paper Disposable Cups - Hot/Cold Beverage Drinking Cup for Water, Juice, Coffee or Tea - Ideal for Water Coolers, Party, or Cof"
Oval plastic storage tubs with handle,"Small size: (12.8"" x 9"" x 6.3"") - Oval plastic tub with handle - beverage and ice bin - store small items at h",Amazon Business,Oval plastic storage tubs with handle
"Philonext Halloween Decorations Spider Webs Spooky Spider Webbing,1000 sqft Stretch Cobwebs with 30 Plastic Fake Spiders for Halloween Indoor Outdoor",,Amazon Business,"Philonext Halloween Decorations Spider Webs Spooky Spider Webbing,1000 sqft Stretch Cobwebs with 30 Plastic Fake Spiders for Halloween Indoor Outdoor"
"Pilot G2 Retractable Premium Gel Ink Roller Ball Pens, Fine Pt, Dozen Box, Black",,Amazon Business,"Pilot G2 Retractable Premium Gel Ink Roller Ball Pens Fine Pt (.7) Dozen Box, Navy Blue; Retractable, Refillable & Premium Comfort Grip; Smooth Lines"
"Pilot G2 Retractable Premium Gel Ink Roller Ball Pens Fine Pt (.7) Dozen Box, Navy Blue; Retractable, Refillable & Premium Comfort Grip; Smooth Lines",,Amazon Business,"Pilot G2 Retractable Premium Gel Ink Roller Ball Pens Fine Pt (.7) Dozen Box, Navy Blue; Retractable, Refillable & Premium Comfort Grip; Smooth Lines"
"Post-it Tabs, 1 in. Solid, Aqua, Yellow, Pink, Red, Green, Orange, Durable, Writable, Repositionable, Sticks Securely, Removes Cleanly, 6/Color, 36/Di",,Amazon Business,"Post-it Tabs, 1 in. Solid, Aqua, Yellow, Pink, Red, Green, Orange, Durable, Writable, Repositionable, Sticks Securely, Removes Cleanly, 6/Color, 36/Di"
Samsung 128GB 100MB/s (U3) MicroSDXC Evo Select Memory Card with Adapter (MB-ME128GA/AM),,Amazon Business,Samsung 128GB 100MB/s (U3) MicroSDXC Evo Select Memory Card with Adapter (MB-ME128GA/AM)
Shipping & handling,,Amazon Business,Shipping & handling
2,Shipping & handling,Amazon Business,Shipping & handling
3,Shipping & handling,Amazon Business,Shipping & handling
"SimpleHouseware Stackable 2 Tier Sliding Basket Organizer Drawer, Bronze",,Amazon Business,"SimpleHouseware Stackable 2 Tier Sliding Basket Organizer Drawer, Bronze"
Slipstick CB680 2 Inch Floor Protecting Rubber Office Chair Caster Wheels (Set of 5) Standard Stem Size - Black/Gray,,Amazon Business,Slipstick CB680 2 Inch Floor Protecting Rubber Office Chair Caster Wheels (Set of 5) Standard Stem Size - Black/Gray
1,Super Pumped: The Battle for Uber,Amazon Business,Super Pumped: The Battle for Uber
"Torani Toasted Hazelnut Flavored Coffee, Single Serve Cups for Keurig K Cups Brewer, 24 Count",,Amazon Business,"Torani Toasted Hazelnut Flavored Coffee, Single Serve Cups for Keurig K Cups Brewer, 24 Count"
"USB C Charger, Nekteck 90W Type C Wall Charger USB-IF Certified with Power Delivery,Foldable Plug, Built-in 6ft Cable for MacBook Pro/Air 2018, Google",,Amazon Business,"USB C Charger, Nekteck 90W Type C Wall Charger USB-IF Certified with Power Delivery,Foldable Plug, Built-in 6ft Cable for MacBook Pro/Air 2018, Google"
USB C Charger,"USB C Charger, Nekteck 90W Type C Wall Charger USB-IF Certified with Power Delivery,Foldable Plug, Built-in 6ft Cable for MacBook Pro/Air 2018, Google",Amazon Business,"USB C Charger, Nekteck 90W Type C Wall Charger USB-IF Certified with Power Delivery,Foldable Plug, Built-in 6ft Cable for MacBook Pro/Air 2018, Google"
VIVO Black Height Adjustable 32 inch Standing Desk Converter | Sit Stand Dual Monitor and Laptop Riser Workstation (DESK-V000K),,Amazon Business,VIVO Black Height Adjustable 32 inch Standing Desk Converter | Sit Stand Dual Monitor and Laptop Riser Workstation (DESK-V000K)
Webcam Cover (3 Pack) Allinko 0.03 inch Ultra Thin Laptop Camera Cover Slide for Computer MacBook Pro/Air iMac iPhone Cell Phone PC Tablet Notebook Su,,Amazon Business,Webcam Cover (3 Pack) Allinko 0.03 inch Ultra Thin Laptop Camera Cover Slide for Computer MacBook Pro/Air iMac iPhone Cell Phone PC Tablet Notebook Su
What You Do Is Who You Are: How to Create Your Business Culture,,Amazon Business,What You Do Is Who You Are: How to Create Your Business Culture
1,Xbox Wireless Controller - White,Amazon Business,Xbox Wireless Controller - White
"Dell (S2718D) S series 27-Inch Screen LED-Lit Monitor, Black/Silver Stand Sold by: Olive Branch Enterprises (seller profile) Condition: New $",,Amazon.com,"Dell (S2718D) S series 27-Inch Screen LED-Lit Monitor, Black/Silver Stand"
"Lenovo ThinkPad T580 Laptop, 15-Inch High Performance Windows Laptop, (Intel Core i7, 8 GB RAM, Windows 10 Pro), 20L9001MUS",,Amazon.com,"Lenovo ThinkPad T580 Laptop, 15-Inch High Performance Windows Laptop"
"Logitech HD Pro Webcam C920, Widescreen Video Calling and Recording, 1080p Camera, Desktop or Laptop Webcam",,Amazon.com,Logitech HD Pro Webcam C920
"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs, Doerr, John",,Amazon.com,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs, Doerr, John"
Mxl AC404 USB Conference Microphone in White,,Amazon.com,Mxl AC404 USB Conference Microphone in White
Yealink CPW90 Microphone,,Amazon.com,Yealink CPW90 Microphone
"Blogging for Verifly - Your Certificate of Insurance, Explained","1,500-2,000 words @ $350",Amelia Willson,"1,500-2,000 words"
"Blogging for Verifly How to Calculate the Value of Your Small Business, From Soup to Nuts","1,500-2,000 words @ $350",Amelia Willson,"1,500-2,000 words"
Blogging for Verifly So You Think You Can Write: How to Become a Freelance Writer,"1,500-2,000 words @ $350",Amelia Willson,"1,500-2,000 words"
"1,500-2,000 words @ $350",How to Grow Your Painting Business (Even in the Winter Months),Amelia Willson,"1,500-2,000 words"
"1,500-2,000 words @ $350",How to Start a Carpet Cleaning Business (Hint: It's More Hard Work Than Magic),Amelia Willson,"1,500-2,000 words"
Sub Category Page: Yoga Insurance,"900-1,500 words @ $250",Amelia Willson,"900-1,500 words"
Sub Category Page: Catering Insurance,"900-1,500 words @ $250",Amelia Willson,"900-1,500 words"
Blogging for Verifly How to Cancel Your Annual Insurance Policy and Get By-the-Job Coverage Instead,"900-1,500 words @ $250",Amelia Willson,"900-1,500 words"
"Writing for Thimble 900-1,500 words @ $250",Sub Category Page: Handyman Insurance,Amelia Willson,"900-1,500 words"
"Writing for Thimble 900-1,500 words @ $250",Sub Category Page: Carpenters Insurance,Amelia Willson,"900-1,500 words"
"900-1,500 words @ $250",An Inside Look at How Insurance Companies Pay Out Claims,Amelia Willson,"900-1,500 words"
"900-1,500 words @ $250",10 Essential Tax Tips for Independent Contractors,Amelia Willson,"900-1,500 words"
"900-1,500 words @ $250",7 Innovative Xeriscape Ideas for Environmentally-Conscious Landscaping Clients,Amelia Willson,"900-1,500 words"
Amplitude Dedicated Customer Success,"Ongoing access to a Success Manager in addition to a 45 day onboarding program with instrumentation training, taxonomy advisory sessions and platform training",Amplitude,Amplitude Dedicated Customer Success
Amplitude Growth Platform,"‰Û¢ Core Analytics: Cross platform identity resolution, real-time data and product analytics ‰Û¢ Behavioral Reports: Cohorting, AB Test Views and Predictive Analytics ‰Û¢ Management: Comprehensive user permissioning and data management",Amplitude,Amplitude Growth Platform
Final billing for review of shareholder loan agreements including conference calls to discuss solutions to founder‰Ûªs ownership dilution in respect of IAC fundraising;,Director 3.50 hours,Andersen Tax,Hourly Services: Legal Services
Final billing for preparation and review of Form W-8 including responding to IAC regarding completion of Form W-8;,Director 3.50 hours,Andersen Tax,Hourly Services: Legal Services
Review of various state income tax notices,Associate 1.50 hours,Andersen Tax,Hourly Services: Tax Services
"For professional tax services rendered through March 28, 2019 in connection with the following:","‰Û¢ Assistance with PFIC and CFC analysis in respect of Verifly Group entities including the preparation of the PFIC statements for Verifly Group entities, as required; and",Andersen Tax,Hourly Services: Tax Services
"For professional tax services rendered through March 28, 2019 in connection with the following:",‰Û¢ Final billing for coordination and communication with the IRS to respond to federal tax notice received regarding the 2017 Verifly tax returns.,Andersen Tax,Hourly Services: Tax Services
Net Associate - Annual Fee,Net Associate - Annual Fee,APCIA,Net Associate - Annual Fee
APPLECARE+ For Mac Mini - PHX,S6121LL/A,Apple,APPLECARE+
AC+ IPAD/IPAD AIR/IPAD Mini-PHX,S6531LL/A,Apple,APPLECARE+
AppleCare+ for MacBook Pro 13inch,,Apple,APPLECARE+
239040343US-VF_Discovery,239040343US-VF_Discovery,Apple Search Ads,239040343US-VF_Discovery
CPT-KW,286291426US-VF_Competitors,Apple Search Ads,286291426US-VF_Competitors
286291426US-VF_Competitors,286291426US-VF_Competitors,Apple Search Ads,286291426US-VF_Competitors
291373211US-VF_Brand,291373211US-VF_Brand,Apple Search Ads,291373211US-VF_Brand
Search Ads,400949152US-Thimble_BRA CPT-KW,Apple Search Ads,Apple Search Ads: Other
(S)VERIFLY INSURANCE SERVICES INC MAY 2019,Search ADS Account,Apple Search Ads,Apple Search Ads: Other
CPT-KW,430579466US-Thimble_GL_NonBranded,Apple Search Ads,Apple Search Ads: Other
[919] Business Organization Annual 40,,Asana,Organization Annual
Credit for remaining Organization Annual 15,,Asana,Organization Annual
Organization Annual 25,,Asana,Organization Annual
Benjamin Y. Han,Participate in call with client; file complaint with Apple; research Joy Aether Ltd and consider strategy.,Athorus,Hourly Services: BYH
164.0001-MP,Preparation and filing of an international trademark application.,Athorus,Hourly Services: BYH
Amazon CloudFront,,AWS,Amazon CloudFront
Amazon EC2 Container Service,,AWS,Amazon EC2 Container Service
Amazon Elastic Compute Cloud,,AWS,Amazon Elastic Compute Cloud
Amazon Lightsail,,AWS,Amazon Lightsail
Amazon Redshift,,AWS,Amazon Redshift
Amazon Relational Database Service,,AWS,Amazon Relational Database Service
Amazon Route 53,,AWS,Amazon Route 53
AWS CloudTrail,,AWS,AWS CloudTrail
AWS Data Transfer,,AWS,AWS Data Transfer
AWS Database Migration Service,,AWS,AWS Database Migration Service
AWS Lambda,,AWS,AWS Lambda
AWS Secrets Manager,,AWS,AWS Secrets Manager
AWS WAF,,AWS,AWS WAF
Legislative Services in New York State,43709,Barrett Associates,Legislative Services in New York State
Freelancer Monthly - Additional BEE Pro Freelancer users,Freelancer Monthly - Additional BEE Pro Freelancer users,Bee,Freelancer Monthly
PROFESSIONAL CHARGES,PROFESSIONAL CHARGES for legal services in connection with the above matter for the period given,Bird & Bird,Hourly Services: PROFESSIONAL CHARGES
PROFESSIONAL CHARGES for legal services in connection with the above matter for the period given,"Advising on Series B financing, Verifly",Bird & Bird,Hourly Services: PROFESSIONAL CHARGES
Shing Lo,Reviewing articles and responding to Jay's query about IAC's right. Considering question from Jay. Reviewing SHA and responding re the same. Further queries from client and responding re the same. Checking articles/SHA. Responding to further query from client re financing.,Bird & Bird,Hourly Services: Shing Lo
Shing Lo,,Bird & Bird,Hourly Services: Shing Lo
Charge for Gilbert Gottfried,"Charge for Gilbert Gottfried (gilbertgottfried) han.dang@thimble.com -- My boss Jay is a HUGE fan! His bday is this Friday. Can you please say something like... ""Interrupting Thimble trivia to wish Jay a very happy birthday"" and remind him that ""Green means GO!"" About Jay: great boss, loves working out, dog name Zoe. TY! -- 5e96245e6bd06001893057d1",Cameo,Charge for Gilbert Gottfried
Recurring: Private Markets {Bundled Subscription},Carta subscription,Carta,Carta subscription
Sales Tax,,Carve Systems,Sales Tax
New Policy - UMBRELLA,1 Pay,Chubb,New Policy - UMBRELLA
Plan: Solo & Seed,,CircleCI,Plan: Solo & Seed
Solo & Seed,,CircleCI,Plan: Solo & Seed
14 Subscribers @ $80.00 / Subscriber,,ClassPass,Subscribers
UK Full Availability Trade Mark Register Search for TEAK in class 36 Our ref: 72175MISC1,Payment of external searchers' fees.,Cleveland Scott York,UK Full Availability Trade Mark Register Search - External Searchers' Fees
UK Full Availability Trade Mark Register Search for THIMBLE in class 36,"To our services in relation to the above matter, including noting Jay Bregman's (JB) instructions, instructing external searchers to carry out a full availability UK Trade Mark Register Search for the mark THIMBLE in class 36, and confirming this to JB in our email of 8 May 2019; receiving and reviewing the results of the search, and advising JB in this respect in our e-mail of 12 April 2019.",Cleveland Scott York,UK Full Availability Trade Mark Register Search - Project Fee
VZS,"Sidhu, V",Clyde & Co,"Hourly Services: Sidhu, V"
"Sidhu, V.",VZS,Clyde & Co,"Hourly Services: Sidhu, V"
SERVICES RENDERED,"Sidhu, V.",Clyde & Co,"Hourly Services: Sidhu, V"
"Wilner, J",JQW,Clyde & Co,"Hourly Services: Wilner, J"
"Yakey, C",,Clyde & Co,"Hourly Services: Yakey, C"
ColumbusCare,ColumbusCare Contract,Columbus,ColumbusCare
"13"" (12"") Aluminum Screen - 48""",,Conklin Office Furniture,"13"" (12"") Aluminum Screen - 48"""
"15A Receptacle Duplex Circuit 1, 3-Circ",,Conklin Office Furniture,"15A Receptacle Duplex Circuit 1, 3-Circ"
"15A Receptacle Duplex Circuit 2, 3-Circ",,Conklin Office Furniture,"15A Receptacle Duplex Circuit 1, 3-Circ"
"15A Receptacle Duplex Circuit 3, 3-Circ",,Conklin Office Furniture,"15A Receptacle Duplex Circuit 1, 3-Circ"
15A Receptacle DuplexCircuit 1,,Conklin Office Furniture,15A Receptacle DuplexCircuit 1
15A Receptacle DuplexCircuit 2,,Conklin Office Furniture,15A Receptacle DuplexCircuit 2
Carry Up Charge,,Conklin Office Furniture,Carry Up Charge
"Cut above to 42""",,Conklin Office Furniture,"Cut above to 42"""
Double Leg - Center,,Conklin Office Furniture,Double Leg - Center
Double Leg - End,,Conklin Office Furniture,Double Leg - End
Leg Double End DG,,Conklin Office Furniture,Leg Double End DG
Power Bar Bracket,,Conklin Office Furniture,Power Bar Bracket
"Power Entry, 72"" 3-Circ",,Conklin Office Furniture,"Power Entry, 72"" 3-Circ"
Single Leg - End,,Conklin Office Furniture,Single Leg - End
"Trim above cable tray to 36"" overall",,Conklin Office Furniture,"Trim above cable tray to 36"" overall"
"Worksurface 24"" x 42"" TFL w/2"" Grommet",,Conklin Office Furniture,"Worksurface 24"" x 42"" TFL w/2"" Grommet"
Cost of Domain Name: thimbles.com,,Consider,Cost of Domain Name
Cost of Domain Name: thimble.me,,Consider,Cost of Domain Name
Cost of Social Handle: /Thimble LinkedIn,,Consider,Cost of Social Handle: LinkedIn
Domain Name Brokerage (Thimble Domains): Engagement Fee,,Consider,Domain Name Brokerage: Engagement Fee
Professional Services,Preparation and submission of accounts for the year  ended 31 December 2018. Preparation and submission of CT1 for the year ended 31 December 2018. Provision of payroll services. Preparation and submission of Verifly Technology Holding Ltd accounts for the year ended 31 December 2018.,Consultus,Non-Hourly Services: Professional Services
Benjamin Y. Han,,Cooper & Dunham,Hourly Services: BYH
Laura A. Alos,,Cooper & Dunham,Hourly Services: LAA
PROFESSIONAL SERVICES,Correspondence with client regarding use of proposed mark,Cooper & Dunham,Hourly Services: LAA
PROFESSIONAL SERVICES,Discuss trademark search report analysis strategy,Cooper & Dunham,Hourly Services: LAA
PROFESSIONAL SERVICES,Review comprehensive trademark search report,Cooper & Dunham,Hourly Services: LAA
PROFESSIONAL SERVICES,Further preparations and additions to opinion letter,Cooper & Dunham,Hourly Services: LAA
PROFESSIONAL SERVICES,Review comprehensive trademark search report; finalize opinion letter; correspondence with client regarding same,Cooper & Dunham,Hourly Services: LAA
2020 MARCH RENEWALS,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
2020 DELAWARE RENEWALS,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
NH4ARM,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
2020 JUNE RENEWALS,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
2020 APRIL RENEWALS,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN,2019 APRIL RENEWALS,CSC,DISBURSEMENT/COST - ANNUAL REPORT/TAX RETURN
